  PID  PPID STAT  %CPU %MEM     ELAPSED COMM
  576     1 Ss     0.0  0.0 01-16:48:43 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/ThunderboltAccessoryUpdaterService.xpc/Contents/MacOS/ThunderboltAccessoryUpdaterService
  577     1 Ss     0.0  0.0 01-16:48:43 /System/Library/CoreServices/appleeventsd
  578     1 SNs    0.0  0.0 01-16:48:43 /usr/sbin/netbiosd
  580     1 S      0.1  0.0 01-16:48:43 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  581     1 Ss     0.0  0.0 01-16:48:43 /usr/libexec/symptomsd-diag
  582     1 Ss     0.0  0.0 01-16:48:42 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  583     1 Ss     0.0  0.0 01-16:48:42 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  584     1 S      0.0  0.0 01-16:48:42 /usr/sbin/distnoted
  585     1 Ss     0.0  0.0 01-16:48:42 /usr/sbin/BTLEServer
  587     1 Ss     0.0  0.0 01-16:48:42 /usr/libexec/mobileactivationd
  589     1 Ss     0.0  0.0 01-16:48:42 /usr/libexec/searchpartyd
  591     1 Ss     0.0  0.0 01-16:48:41 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  592     1 Ss     0.0  0.0 01-16:48:41 /System/Library/CoreServices/TimeMachine/backupd-helper
  594     1 S      0.0  0.0 01-16:48:41 /usr/sbin/distnoted
  595     1 Ss     0.0  0.0 01-16:48:41 /usr/libexec/cryptexd
  601     1 Ss     0.7  0.1 01-16:48:41 /Applications/ExpressVPN.app/Contents/MacOS/expressvpnd
  602     1 Ss     0.0  0.0 01-16:48:41 /opt/homebrew/bin/socat
  604     1 Ss     0.0  0.0 01-16:48:41 /Library/PrivilegedHelperTools/com.docker.vmnetd
  605     1 Ss     0.0  0.0 01-16:48:41 /Library/PrivilegedHelperTools/licenseDaemon.app/Contents/MacOS/licenseDaemon
  608     1 Ss     0.0  0.0 01-16:48:40 /usr/sbin/cron
  611     1 Ss     0.0  0.0 01-16:48:40 /usr/libexec/storagekitd
  612     1 Ss     0.0  0.0 01-16:48:40 /usr/libexec/cameracaptured
  613     1 Ss     0.0  0.0 01-16:48:40 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
  614     1 Ss     0.0  0.0 01-16:48:40 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
